name,price,url,table_vals,description
Aberlour 12 Year Non Chill-Filtered 700ml w/Gift Box,102.99,https://www.paneco.com.sg/products/aberlour-12-year-non-chill-filtered-700ml-w-gift-box,"{""Alcohol percentage"": ""48.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Aberlour"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  An unchill-filtered expression, Aberlour 12 Year Old Non Chill-Filtered is packed with flavours that are all from the whiskies that make it (and not the filtration system!). This delightful dram features intense flavours of dark chocolate, cinnamon, nutmeg, caramel and nutty hues.
                "
Aberlour 16 Year 700ml w/Gift Box,169.95,https://www.paneco.com.sg/products/aberlour-16-year-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""43.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Aberlour"", ""Gift box"": ""No"", ""Country of origin"": ""Scotland""}","
                  Aberlour 16 Year is matured in a combination of ex-bourbon casks and the finest ex-sherry butts. This maturation ensures the depth of character as well as the distinctive fruitiness and spiciness of Aberlour.
                "
Aberlour A'bunadh 700ml Batch 66 Single Malt 700ml w/ Gift Box,174.5,https://www.paneco.com.sg/products/aberlour-a-bunadh-700ml-batch-66-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""59.2"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Aberlour"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Batch 66 of Aberlour’s popular A’bunadh single malt, like its predecessors, was aged in a single sherry cask. The term ‘A’bunadh’ means ‘the original’ in Gaelic – a name chosen thanks to the process employed here, which avoids chill filtering. Expect deep spice, praline and orange, with black cherry and ginger prominent in the body.
                "
Akashi Meisei 500ml Gift Pack w/2 Glasses,82,https://www.paneco.com.sg/products/akashi-meisei-500ml-gift-pack-w-2-glasses,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""500ml"", ""Brand"": ""Akashi"", ""Gift box"": ""Yes"", ""Country of origin"": ""Japan""}","
                  ""Meisei"" translates as 'celebrity' in Japanese. Reports have it that this whisky was made with 45% American oak matured single malt.
                "
Akashi Red 500ml,49.8,https://www.paneco.com.sg/products/akashi-red-500ml,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""500ml"", ""Brand"": ""Akashi"", ""Gift box"": ""No"", ""Country of origin"": ""Japan""}","
This is a blended of malt and grain whiskies. It has the name simply due to the color of the label.Eigashima Shuzo Co. Ltd. is one of the oldest family-run distillery with nearly 100 years of whisky-making experience in Japan. Established in 1679, Eigashima was once considered among the top 100 Japanese corporations during the Meiji period (the peak era in Japanese history).Eigashima has been making sake and shochu with Japanese traditional craftsmanship since 1888, and as the first distillery to obtain a license to make whisky in Japan in 1919, is a true pioneer in its field. Known for its clean air and water, the city of Akashi is located in close proximity of Osaka, which overlooks the beautiful Seto Inland Sea; Akashi is the only distillery in Japan situated by the sea. With the translated “HONESTY” as the company motto throughout the centuries, Eigashima’s ninth generation leader, Mr. Hiraishi has uncompromising standards for each drop of it’s products.It releases its whisky under the name ""White Oak"".
                "
"Akashi White Oak ""Black"" 500ml w/Gift Box",56.5,https://www.paneco.com.sg/products/akashi-white-oak-black-500ml-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""500ml"", ""Brand"": ""Akashi"", ""Gift box"": ""Yes"", ""Country of origin"": ""Japan""}","
Akashi whisky is the only whisky in the world that is made by a Toji (grand-master in the art of sake making) by implementing sake-making methodologies into the whisky making process. The distil pot used is smaller than those used by both Scottish and other Japanese distilleries, which in turn, decreases the levels of fusel alcohol. As a result, Akashi whisky does not require as long of an ageing process, while its core malt (cask strength) is smooth and delicate.Akashi White Oak is a blended whisky reserved in Japanese Shochu cask (American Oak) for 3 years, aged in ex-bourbon casks before finishing in ex-sherry casks for 2 years.
                "
anCnoc 12 Year 700ml w/Gift box,123.8,https://www.paneco.com.sg/products/ancnoc-12-year-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""anCnoc"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  The anCnoc 12 year old is renowned the world over. Known as a must-have in any whisky drinker’s collection, it’s light and yet complex. Smooth yet challenging. And each twist and turn delivers a surprise. In fact, this is a dram that has something for everyone.
                "
anCnoc 18 Year 700ml w/Gift Box,224.95,https://www.paneco.com.sg/products/ancnoc-18-year-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""46.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""anCnoc"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
Matured in Spanish oak ex-sherry casks and American oak ex-bourbon barrels and has been bottled in its most natural form, neither chill-filtered nor coloured. This dram may develop a light haze with the addition of water or if kept at a cold temperature. This haze is a natural characteristic of whisky that is non chill-filtered.
                "
anCnoc Peatheart 700ml w/Gift Box,169.95,https://www.paneco.com.sg/products/ancnoc-peatheart-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""46.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""anCnoc"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
Throughout the Scottish uplands, most extensively in the north and west, you will find the heart of the peatlands.  Remote and isolated yet rich in iconic wildlife, this environment rules the landscape and provides a valuable fuel for the whisky-making process.Peatiness can be controlled by the amount of peat burnt and the humidity of the barley. Peat smoke produces chemicals called phenols and it is by its phenol content that a whisky's 'peatiness' can be measured. This phenol content is expressed as PPM (parts per million) and to ensure consistency, Peatheart uses barley, specified by the Master Blender, malted to 40PPM.  
                "
Ardbeg An Oa 1L,164.95,https://www.paneco.com.sg/products/ardbeg-an-oa-single-malt-1l,"{""Alcohol percentage"": ""46.6"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Ardbeg"", ""Gift box"": ""No"", ""Country of origin"": ""Scotland""}","
Ardbeg An Oa is singularly rounded, due in no small part to time spent in our newly established bespoke oak Gathering Vat where whiskies from several cask types - including; sweet Pedro Ximenez; spicy virgin charred oak; and intense ex-bourbon casks, amongst others - familiarise themselves with each other. The result is a dram with smoky power, mellowed by a delectable, smooth sweetness. Hallmark Ardbeg peat, dark chocolate and aniseed are wrapped in smooth, silky butterscotch, black pepper and clove, before rising to an intense crescendo of flavour.
                "
